ACCT_NBR,CUST_ID,CANCEL_NO_CONTACT,IS_DIGITAL,ACCT_OPEN_DT,AUM_AMT,DATE_OF_BIRTH,YEARLYINCOMELEVEL,CNTY_CD,TXN_COUNT,TXN_AMT_SUM,TXN_AMT_MEAN,EB_CHECK_SUM,MB_CHECK_SUM,IP_RATE,UUID_RATE,VIRTUAL_ID,DRCR_OUT,DRCR_IN,TX_TIME,CHANNEL_CODE,TRN_CODE,Y
ACCT1009,ID946,0,1,17906,21,33,25.0,12.0,2,8148,4074.0,0.0,1.5,0.0,0.0,2.0,1.0,1.0,,16,20,0
ACCT10090,ID9523,0,1,17904,3702,41,126.0,12.0,1,6,6.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10092,ID9525,0,0,18219,241953,29,126.0,12.0,3,103003,34334.333333333336,0.0,0.3333333333333333,0.0,0.0,3.0,2.0,1.0,,4,4,0
ACCT10093,ID9526,0,0,9814,100243,48,126.0,12.0,1,365,365.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10094,ID9527,0,1,16660,991636,59,126.0,12.0,9,257355,28595.0,0.0,1.5555555555555556,0.2222222222222222,0.1111111111111111,9.0,8.0,1.0,1.0,18,27,0
ACCT10095,ID9528,0,1,17906,3567,45,25.0,12.0,2,142834,71417.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,16,20,0
ACCT10097,ID9530,0,1,17772,90561,29,25.0,12.0,1,41,41.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10098,ID9531,0,0,15323,21934,47,25.0,12.0,4,65065,16266.25,0.0,0.0,0.0,0.0,4.0,2.0,2.0,,17,6,0
ACCT10099,ID9532,0,1,15792,22566,35,25.0,12.0,15,303133,20208.866666666665,0.0,2.6666666666666665,0.0,0.0,13.0,9.0,6.0,2.0,18,24,0
ACCT101,ID96,0,0,9399,7387046,62,25.0,12.0,16,800122,50007.625,0.0,0.6875,0.0,0.0,15.0,9.0,7.0,1.0,16,14,0
ACCT1010,ID947,0,1,17297,19825,25,25.0,12.0,20,54271,2713.55,0.0,2.75,0.6,0.0,20.0,14.0,6.0,8.0,16,47,0
ACCT10100,ID9533,0,0,14743,50811,56,25.0,12.0,1,184,184.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10101,ID9534,0,1,15790,51189,40,126.0,12.0,19,333691,17562.684210526317,0.0,1.4210526315789473,0.5263157894736842,0.10526315789473684,17.0,15.0,4.0,1.0,18,15,0
ACCT10103,ID9536,0,0,16449,6797148,30,25.0,12.0,1,56,56.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10104,ID9537,0,1,17009,1081,25,25.0,12.0,158,117568,744.1012658227849,0.0,11.60126582278481,0.5126582278481012,0.13924050632911392,135.0,100.0,58.0,33.0,18,27,0
ACCT10105,ID9538,1,0,9405,1740016,37,,12.0,1,6288,6288.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10106,ID9539,0,0,9707,768270,48,25.0,12.0,1,1013,1013.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10107,ID9540,0,1,16762,42277,39,25.0,12.0,4,15979,3994.75,0.0,1.0,0.5,0.0,4.0,3.0,1.0,,18,27,0
ACCT10108,ID9541,0,1,16660,136556,27,126.0,12.0,7,83224,11889.142857142857,0.0,2.142857142857143,0.2857142857142857,0.0,7.0,6.0,1.0,,18,27,0
ACCT10109,ID9542,0,0,9728,4825024,68,126.0,12.0,2,3312,1656.0,2.0,0.0,0.0,0.0,2.0,,2.0,,7,6,0
ACCT10110,ID9543,0,0,8808,5101503,67,126.0,12.0,1,149996,149996.0,0.0,0.0,0.0,0.0,1.0,,1.0,,4,1,0
ACCT10111,ID9544,0,0,6686,13484,85,,12.0,1,48,48.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10112,ID9545,0,1,18010,323644,26,126.0,12.0,18,22675,1259.7222222222222,0.0,0.1111111111111111,0.0,0.0,18.0,17.0,1.0,1.0,19,15,0
ACCT10113,ID9546,0,1,17009,0,23,25.0,12.0,14,14484,1034.5714285714287,0.0,0.2857142857142857,0.35714285714285715,0.2857142857142857,14.0,11.0,3.0,8.0,16,47,0
ACCT10114,ID9547,0,1,17644,1497,47,25.0,12.0,2,3328,1664.0,0.0,2.5,0.5,0.0,2.0,1.0,1.0,1.0,16,27,0
ACCT10115,ID9548,0,1,15657,987,40,25.0,12.0,6,16674,2779.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,2.0,7,14,0
ACCT10117,ID9550,0,1,15656,2231497,32,126.0,12.0,8,453119,56639.875,0.0,1.0,0.625,0.0,6.0,7.0,1.0,3.0,16,15,0
ACCT10118,ID9551,0,0,9078,48160,53,,12.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10119,ID9552,0,0,8849,51586,62,,12.0,1,161,161.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT1012,ID949,0,1,18009,34833,55,126.0,12.0,2,1301,650.5,0.0,1.5,0.5,0.0,1.0,2.0,,,18,15,0
ACCT10121,ID9554,0,0,18123,15849,24,25.0,12.0,8,117551,14693.875,0.0,0.875,0.0,0.0,7.0,5.0,3.0,2.0,15,27,0
ACCT10122,ID9555,0,0,17297,7832350,37,25.0,12.0,1,1422,1422.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10123,ID9555,0,0,17270,7832350,37,25.0,12.0,1,1422,1422.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10124,ID9556,0,1,15352,115460,38,126.0,12.0,5,9737,1947.4,0.0,1.2,0.6,0.0,3.0,1.0,4.0,,16,12,0
ACCT10126,ID9558,0,0,14930,7183249,64,126.0,12.0,14,723671,51690.78571428572,0.2857142857142857,0.0,0.0,0.0,14.0,10.0,4.0,3.0,17,30,0
ACCT10127,ID9559,0,1,18141,301292,42,126.0,12.0,1,4569,4569.0,0.0,0.0,1.0,1.0,1.0,1.0,,,16,20,0
ACCT10128,ID9560,1,1,16248,17611,34,126.0,12.0,1,3367,3367.0,0.0,0.0,0.0,0.0,1.0,1.0,,,16,20,0
ACCT10129,ID9561,0,1,18142,63945,35,25.0,12.0,8,7324,915.5,0.0,0.625,0.0,0.0,5.0,1.0,7.0,,17,25,0
ACCT10130,ID9562,0,1,18235,65859,46,25.0,12.0,1,4737,4737.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,16,41,0
ACCT10131,ID9563,0,1,17641,143074,34,126.0,12.0,5,160069,32013.8,0.0,3.4,0.0,0.0,5.0,2.0,3.0,1.0,16,10,0
ACCT10132,ID9564,0,0,16667,14003,26,25.0,12.0,2,3117,1558.5,0.0,0.0,0.0,0.0,1.0,,2.0,,10,6,0
ACCT10133,ID9565,0,1,15656,39923,33,126.0,12.0,51,703304,13790.274509803921,0.0,2.764705882352941,0.6666666666666666,0.11764705882352941,47.0,29.0,22.0,5.0,17,27,0
ACCT10134,ID9566,0,0,18103,195849,42,126.0,12.0,1,70,70.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10135,ID9567,0,0,14635,1211678,38,126.0,12.0,15,126936,8462.4,0.0,1.3333333333333333,0.13333333333333333,0.13333333333333333,15.0,12.0,3.0,3.0,15,27,0
ACCT10136,ID9567,0,0,14635,1211678,38,126.0,12.0,1,1243,1243.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10137,ID9568,0,1,17725,294771,33,126.0,12.0,2,1801,900.5,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,16,20,0
ACCT10138,ID9569,0,1,18012,20941,31,126.0,12.0,24,6954,289.75,3.625,0.0,0.4583333333333333,0.0,24.0,22.0,2.0,,19,15,0
ACCT10139,ID9570,0,0,18103,516097,34,25.0,12.0,1,56,56.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT1014,ID951,0,1,15351,358,41,25.0,12.0,6,12247,2041.1666666666667,0.0,0.0,0.0,0.0,2.0,3.0,3.0,,19,15,0
ACCT10140,ID9571,0,0,10504,116746,73,126.0,12.0,4,16528,4132.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,16,6,0
ACCT10141,ID9572,0,1,18235,2030,25,25.0,12.0,3,5440,1813.3333333333333,0.0,1.0,0.6666666666666666,0.0,3.0,1.0,2.0,,16,15,0
ACCT10142,ID9573,0,0,15868,3995304,49,126.0,12.0,5,21093,4218.6,0.0,0.2,0.0,0.0,5.0,1.0,4.0,3.0,16,41,0
ACCT10143,ID9574,0,0,17094,7462996,60,25.0,12.0,1,426,426.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10144,ID9574,0,0,17241,7462996,60,25.0,12.0,1,711,711.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10146,ID9576,0,0,17277,5631241,85,25.0,12.0,1,283,283.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,10,6,0
ACCT10147,ID9577,0,1,16346,50760,30,25.0,12.0,5,31994,6398.8,0.0,1.2,0.0,0.0,3.0,4.0,1.0,,19,15,0
ACCT10148,ID9578,0,1,15656,439923,39,126.0,12.0,16,70108,4381.75,0.0,1.0625,0.25,0.0,12.0,9.0,7.0,3.0,18,12,0
ACCT10149,ID9579,0,1,16000,378440,48,126.0,12.0,8,106746,13343.25,0.0,0.375,0.25,0.0,3.0,6.0,2.0,,19,15,0
ACCT1015,ID952,0,1,16762,9193,37,25.0,12.0,7,93639,13377.0,4.285714285714286,1.5714285714285714,0.42857142857142855,0.0,7.0,4.0,3.0,2.0,18,27,0
ACCT10150,ID9580,1,1,16248,21923,38,126.0,12.0,4,199980,49995.0,0.0,3.5,0.0,0.0,4.0,4.0,,,18,27,0
ACCT10152,ID9582,0,1,18012,67425,24,25.0,12.0,1,693,693.0,0.0,0.0,0.0,0.0,1.0,1.0,,,19,15,0
ACCT10153,ID9583,0,0,16644,644,26,25.0,12.0,2,4,2.0,0.0,0.0,0.0,0.0,2.0,,2.0,,10,6,0
ACCT10156,ID9586,0,1,15657,65227,39,126.0,12.0,12,477003,39750.25,0.0,1.9166666666666667,0.5833333333333334,0.0,9.0,9.0,3.0,2.0,18,27,0
ACCT10157,ID9587,0,0,14847,187535,43,350.0,12.0,14,488374,34883.857142857145,0.0,3.7142857142857144,0.6428571428571429,0.0,14.0,10.0,4.0,2.0,15,27,0
ACCT10159,ID9589,0,0,16588,0,32,,12.0,2,8,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,10,6,0
ACCT1016,ID953,0,0,16762,443501,24,25.0,12.0,46,126924,2759.217391304348,0.0,0.1956521739130435,0.043478260869565216,0.021739130434782608,26.0,41.0,5.0,3.0,17,15,0
ACCT10160,ID9590,0,1,18183,432,29,126.0,12.0,1,53,53.0,0.0,0.0,0.0,0.0,1.0,,1.0,,16,11,1
ACCT10161,ID9591,0,0,15317,56271,43,25.0,12.0,11,67825,6165.909090909091,0.0,1.0909090909090908,0.18181818181818182,0.0,10.0,8.0,3.0,6.0,16,43,0
ACCT10162,ID9592,0,1,15351,113594,59,25.0,12.0,5,45970,9194.0,0.0,0.4,0.2,0.0,4.0,3.0,2.0,2.0,17,24,0
ACCT10163,ID9593,0,1,17907,49359,36,126.0,12.0,3,3530,1176.6666666666667,0.0,0.0,0.0,0.0,3.0,3.0,,,19,15,0
ACCT10164,ID9594,0,0,7986,2179,45,25.0,12.0,8,3223,402.875,0.0,0.0,0.75,0.0,6.0,4.0,4.0,,17,15,0
ACCT10165,ID9595,0,0,17014,4327,31,126.0,12.0,2,158,79.0,0.0,0.0,0.0,0.0,2.0,,2.0,1.0,10,6,0
ACCT10166,ID9596,0,0,17255,153824,29,25.0,12.0,1,203,203.0,0.0,0.0,0.0,0.0,1.0,,1.0,,10,6,0
ACCT10167,ID9597,0,1,17726,57437,28,126.0,12.0,2,3442,1721.0,0.0,1.5,0.0,0.0,1.0,1.0,1.0,,16,12,0
ACCT10168,ID9598,0,1,16762,0,19,25.0,12.0,15,98472,6564.8,0.0,1.6666666666666667,0.4,0.0,8.0,9.0,6.0,2.0,18,15,0
ACCT10169,ID9599,0,1,16346,18083,35,25.0,12.0,2,28137,14068.5,0.0,2.0,0.5,0.0,1.0,2.0,,,16,15,0
ACCT1017,ID954,0,1,16346,1332,41,126.0,12.0,5,73259,14651.8,0.0,2.4,0.8,0.0,5.0,5.0,,1.0,18,27,0
ACCT10170,ID9600,0,1,17778,234688,32,126.0,12.0,2,75752,37876.0,0.0,1.5,0.5,0.0,2.0,1.0,1.0,,16,20,0
ACCT10171,ID9601,0,1,15352,34691,32,25.0,12.0,10,401591,40159.1,0.0,2.9,0.5,0.1,9.0,8.0,2.0,2.0,18,27,0
ACCT10173,ID9603,0,0,18219,50071,40,25.0,12.0,2,4947,2473.5,0.0,0.0,0.0,0.0,2.0,,2.0,,11,12,0
